"Receiving Water"	"Type"
"Pacific Beach"	"Saltwater"
"Pacific by way of San Diego River"	"Freshwater"
"Pacific Ocean"	"Saltwater"
"pacific ocean "	"Saltwater"
"Pacific Ocean  San Diego Bay"	"Saltwater"
"Pacific Ocean via Storm Drain"	"Saltwater"
"Paradise Creek"	"Freshwater"
"Penasquitos Creek"	"Freshwater"
"Potw And San Diego Bay"	"Saltwater"
"Poway Creek"	"Freshwater"
"Property Drain"	"Freshwater"
"Property Storm Drain Sys"	"Freshwater"
"Property Wade Storm Drain Systems"	"Freshwater"
"Property Wide Drain Sys"	"Freshwater"
"Property Wide Storm"	"Freshwater"
"Property Wide Storm Drain"	"Freshwater"
"Property Wide Storm Drain Sys"	"Freshwater"
"Property Wide Storm Drain Syst"	"Freshwater"
"Property Wide Storm Drain System"	"Freshwater"
"Property Wide Stormdrain Syst"	"Freshwater"
"Property Wide Strom Drain"	"Freshwater"
"Property Wroe Storm Drain"	"Freshwater"
"Reidy Canyon Creek"	"Freshwater"
"Reidy Creek"	"Freshwater"
"River"	"Freshwater"
"River Creek"	"Freshwater"
"Rose Canyon Creek"	"Freshwater"
"Rose Canyon Creek to Mission Bay"	"Freshwater"
"Rose Creek"	"Freshwater"
"Rose Creek Canyon"	"Freshwater"
"Rose Creek Lower San Diego River"	"Freshwater"
"Rose Creek/Mission Bay"	"Freshwater"
"San Clemente Canyon"	"Freshwater"
"San Clemente Canyon Creek"	"Freshwater"
"San Clemente Creek to Rose Creek to Mission Bay"	"Freshwater"
"San Diego"	"Saltwater"
"San Diego Bay"	"Saltwater"
"San Diego Bay Seventh Street Channel"	"Saltwater"
"San Diego Bay Via Seventh Street Channel"	"Freshwater"
"San Diego Chollas Creek"	"Freshwater"
"San Diego Harbor"	"Saltwater"
"San Diego River"	"Freshwater"
"San Diego River "	"Freshwater"
"San Diego River  "	"Freshwater"
